,buy_status,payment_method_id,payment_method_resource,tx_id,tx_resource,buy_amount,buy_amount_currency,buy_total,buy_total_currency,buy_sub_total,buy_sub_total_currency,buy_date,buy_update_date,resource,buy_committed,buy_instant,buy_payout_date
36,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,294184f3-f93e-551c-ac4f-cbacb30d6040,transaction,2.5511509,ENJ,5.0,USD,4.01,USD,2021-08-19 20:34:34+00:00,2021-08-19 21:15:46+00:00,buy,True,True,2021-08-19 20:34:33+00:00
37,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,039d01f2-dc76-5519-8da8-fd4b1198426f,transaction,2.59765625,ENJ,5.0,USD,4.01,USD,2021-08-12 21:47:05+00:00,2021-08-12 22:15:22+00:00,buy,True,True,2021-08-12 21:47:04+00:00
38,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,3049166c-a694-5b98-a25c-df06749be03e,transaction,2.8317956,ENJ,5.0,USD,4.01,USD,2021-08-05 22:00:12+00:00,2021-08-05 22:45:13+00:00,buy,True,True,2021-08-05 22:00:12+00:00
39,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,0e32ef39-0fe0-59f0-b2a4-b2cf4f6adeab,transaction,2.88086643,ENJ,5.0,USD,4.01,USD,2021-07-29 22:11:22+00:00,2021-07-29 22:45:17+00:00,buy,True,True,2021-07-29 22:11:21+00:00
40,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,21697025-8980-56a8-9e61-1e2505ba7c77,transaction,3.61085973,ENJ,5.0,USD,4.01,USD,2021-07-22 22:29:54+00:00,2021-07-23 13:59:33+00:00,buy,True,True,2021-07-22 22:29:54+00:00
41,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,dc395eb5-ca9e-5d20-86c4-c7f3f18726ca,transaction,3.15914489,ENJ,5.0,USD,4.01,USD,2021-07-15 20:46:38+00:00,2021-07-15 21:29:24+00:00,buy,True,True,2021-07-15 20:46:38+00:00
42,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,0dbdfa50-5c21-5afa-bb82-e56f657a068e,transaction,3.19967923,ENJ,5.0,USD,4.01,USD,2021-07-08 20:55:52+00:00,2021-07-08 21:44:33+00:00,buy,True,True,2021-07-08 20:55:51+00:00
43,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,7a94ad64-b983-503c-a178-6eed7905583a,transaction,3.56568365,ENJ,5.0,USD,4.01,USD,2021-07-01 17:32:57+00:00,2021-07-01 20:12:53+00:00,buy,True,True,2021-07-01 17:32:56+00:00
44,completed,fbe19e2c-5511-5b2f-a42b-030930c2aa4b,payment_method,d3c0aae6-2835-5651-852e-d19336fe297f,transaction,3.71162791,ENJ,5.0,USD,4.01,USD,2021-06-24 17:30:07+00:00,2021-06-24 19:50:31+00:00,buy,True,True,2021-06-24 17:30:07+00:00
45,completed,1763f008-b84d-544c-a458-4b29c80b9d14,payment_method,fe2e8129-97d6-5825-ad72-d77863c60375,transaction,23.99285623,ENJ,25.0,USD,23.51,USD,2021-06-22 17:54:22+00:00,2021-06-22 17:54:29+00:00,buy,True,True,2021-06-22 17:54:24+00:00
